Time (s),Accel Roll (deg),Gyro Roll (deg)
8.403,27.87,28.0
8.418,27.73,28.0
8.433,27.8,28.0
8.447,27.85,28.0
8.461,27.75,28.0
8.476,27.73,28.0
8.49,27.8,28.0
8.505,27.87,28.0
8.519,27.81,28.0
8.533,27.71,28.0
8.547,27.82,28.0
8.561,27.88,28.0
8.576,27.82,28.0
8.59,27.8,28.0
8.604,27.82,28.0
8.619,27.83,28.0
8.633,27.73,28.0
8.648,27.66,28.0
8.662,27.77,28.0
8.676,27.84,28.0
8.69,27.89,28.0
8.704,27.81,28.0
8.719,27.75,28.0
8.735,27.82,28.0
8.749,27.83,28.0
8.763,27.79,28.0
8.777,27.77,28.0
8.792,27.8,28.0
8.806,27.78,28.0
8.82,27.74,28.0
8.835,27.78,28.0
8.849,27.86,28.0
8.866,27.93,28.0
8.88,27.69,28.0
8.894,27.72,28.0
8.909,27.92,28.0
8.923,27.92,28.0
8.937,27.85,28.0
8.951,27.85,28.0
8.965,27.89,28.0
8.979,27.7,28.0
8.994,27.68,28.0
9.008,27.86,28.0
9.023,27.9,28.0
9.037,27.81,28.0
9.052,27.73,28.0
9.066,27.72,28.0
9.081,27.94,28.0
9.096,27.98,28.0
9.11,27.79,28.0
9.125,27.74,28.0
9.14,27.78,28.0
9.154,27.81,28.0
9.169,27.81,28.0
9.183,27.85,28.0
9.198,27.94,28.0
9.212,27.86,28.01
9.227,27.69,28.01
9.242,27.7,28.01
9.256,27.88,28.0
9.272,27.95,28.01
9.287,27.79,28.01
9.301,27.71,28.01
9.316,27.85,28.01
9.331,27.89,28.01
9.345,27.75,28.01
9.36,27.77,28.01
9.375,27.94,28.01
9.39,27.87,28.01
9.404,27.74,28.01
9.419,27.76,28.01
9.433,27.94,28.01
9.448,27.88,28.01
9.462,27.77,28.01
9.476,27.81,28.01
9.491,27.87,28.01
9.505,27.8,28.01
9.519,27.82,28.01
9.533,27.86,28.01
9.547,27.84,28.01
9.561,27.72,28.01
9.576,27.75,28.01
9.59,27.81,28.01
9.604,27.85,28.01
9.618,27.82,28.01
9.632,27.81,28.01
9.646,27.81,28.01
9.661,27.72,28.01
9.675,27.68,28.01
9.689,27.73,28.01
9.703,27.88,28.01
9.718,27.84,28.01
9.732,27.77,28.01
9.747,27.81,28.01
9.761,27.77,28.01
9.775,27.76,28.01
9.789,27.84,28.01
9.804,27.9,28.01
9.818,27.85,28.01
9.833,27.77,28.01
9.846,27.73,28.01
9.86,27.79,28.01
9.875,27.83,28.01
9.889,27.79,28.01
9.904,27.77,28.01
9.918,27.83,28.01
9.932,27.85,28.01
9.946,27.83,28.01
9.96,27.82,28.01
9.974,27.88,28.01
9.989,27.82,28.01
10.003,27.74,28.01
10.018,27.69,28.01
10.032,27.76,28.01
10.047,27.93,28.0
10.061,27.88,28.01
10.076,27.76,28.01
10.09,27.76,28.01
10.105,27.83,28.01
10.12,27.84,28.01
10.134,27.8,28.01
10.149,27.84,28.01
10.163,27.87,28.01
10.178,27.81,28.01
10.193,27.76,28.01
10.208,27.8,28.01
10.222,27.81,28.01
10.237,27.84,28.01
10.251,27.83,28.01
10.266,27.91,28.01
10.281,27.86,28.01
10.295,27.7,28.01
10.31,27.78,28.01
10.324,27.96,28.01
10.339,27.88,28.01
10.353,27.71,28.01
10.368,27.76,28.01
10.382,27.86,28.01
10.397,27.81,28.01
10.412,27.81,28.01
10.426,27.9,28.01
10.441,27.92,28.01
10.456,27.72,28.01
10.47,27.69,28.01
10.484,27.9,28.01
10.499,27.94,28.01
10.513,27.78,28.01
10.527,27.74,28.01
10.541,27.85,28.01
10.556,27.87,28.01
10.57,27.81,28.01
10.584,27.82,28.01
10.598,27.85,28.01
10.613,27.88,28.01
10.627,27.87,28.01
10.641,27.84,28.01
10.655,27.86,28.01
10.669,27.97,28.01
10.684,27.88,28.01
10.698,27.76,28.01
10.712,27.79,28.01
10.727,27.85,28.01
10.742,27.79,28.01
10.756,27.74,28.01
10.771,27.84,28.01
10.785,27.85,28.01
10.799,27.82,28.01
10.813,27.8,28.01
10.827,27.81,28.01
10.842,27.86,28.01
10.856,27.86,28.01
10.87,27.78,28.01
10.884,27.79,28.01
10.898,27.87,28.01
10.913,27.84,28.01
10.927,27.79,28.01
10.941,27.82,28.01
10.955,27.86,28.01
10.97,27.82,28.01
10.984,27.78,28.01
10.998,27.78,28.01
11.012,27.76,28.01
11.027,27.84,28.01
11.042,27.87,28.01
11.058,27.85,28.01
11.072,27.81,28.01
11.087,27.7,28.01
11.102,27.72,28.01
11.116,27.8,28.01
11.131,27.81,28.01
11.146,27.81,28.01
11.16,27.81,28.01
11.174,27.85,28.01
11.189,27.81,28.01
