Time (s),Gyro Roll (deg)
13.464,-0.78
13.478,-0.77
13.493,-0.77
13.507,-0.77
13.522,-0.77
13.536,-0.77
13.55,-0.77
13.565,-0.77
13.579,-0.77
13.594,-0.77
13.608,-0.77
13.623,-0.77
13.637,-0.78
13.651,-0.78
13.666,-0.78
13.681,-0.78
13.696,-0.78
13.711,-0.78
13.725,-0.78
13.74,-0.78
13.754,-0.78
13.769,-0.78
13.783,-0.78
13.798,-0.78
13.812,-0.78
13.827,-0.78
13.841,-0.78
13.856,-0.78
13.87,-0.78
13.885,-0.78
13.899,-0.78
13.914,-0.78
13.929,-0.78
13.943,-0.78
13.957,-0.78
13.972,-0.78
13.986,-0.78
14.001,-0.78
14.015,-0.78
14.03,-0.78
14.045,-0.78
14.059,-0.78
14.074,-0.77
14.088,-0.78
14.102,-0.78
14.117,-0.77
14.131,-0.77
14.146,-0.77
14.16,-0.77
14.175,-0.77
14.19,-0.77
14.204,-0.77
14.218,-0.77
14.233,-0.77
14.248,-0.77
14.262,-0.77
14.277,-0.77
14.291,-0.77
14.305,-0.77
14.32,-0.77
14.334,-0.77
14.349,-0.77
14.363,-0.77
14.378,-0.77
14.393,-0.77
14.408,-0.77
14.422,-0.77
14.436,-0.77
14.451,-0.77
14.465,-0.77
14.48,-0.77
14.495,-0.77
14.509,-0.77
14.524,-0.77
14.538,-0.77
14.553,-0.77
14.567,-0.77
14.582,-0.77
14.596,-0.77
14.611,-0.77
14.626,-0.77
14.64,-0.77
14.655,-0.77
14.669,-0.77
14.684,-0.77
14.698,-0.77
14.713,-0.77
14.727,-0.77
14.742,-0.77
14.756,-0.77
14.771,-0.77
14.785,-0.77
14.8,-0.77
14.814,-0.77
14.829,-0.77
14.843,-0.77
14.858,-0.77
14.872,-0.77
14.887,-0.77
14.901,-0.77
14.915,-0.77
14.93,-0.77
14.944,-0.76
14.959,-0.76
14.973,-0.76
14.987,-0.77
15.002,-0.77
15.017,-0.77
15.031,-0.77
15.046,-0.76
15.061,-0.76
15.075,-0.76
15.09,-0.76
15.104,-0.76
15.119,-0.76
15.133,-0.77
15.147,-0.77
15.162,-0.77
15.177,-0.77
15.191,-0.77
15.205,-0.77
15.221,-0.77
15.235,-0.77
15.25,-0.77
15.264,-0.77
15.279,-0.77
15.293,-0.77
15.308,-0.77
15.323,-0.77
15.337,-0.76
15.351,-0.76
15.366,-0.76
15.38,-0.76
15.395,-0.76
15.409,-0.76
15.425,-0.77
15.439,-0.77
15.454,-0.77
15.468,-0.77
15.482,-0.77
15.497,-0.77
15.511,-0.77
15.525,-0.77
15.54,-0.77
15.554,-0.77
15.568,-0.77
15.583,-0.77
15.598,-0.77
15.612,-0.77
15.627,-0.77
15.641,-0.77
15.656,-0.77
15.67,-0.77
15.685,-0.77
15.699,-0.77
15.714,-0.77
15.728,-0.77
15.743,-0.77
15.757,-0.77
15.772,-0.77
15.786,-0.77
15.801,-0.77
15.815,-0.77
15.83,-0.77
15.844,-0.77
15.862,-0.77
15.876,-0.77
15.891,-0.77
15.905,-0.77
15.919,-0.77
15.934,-0.77
15.948,-0.77
15.963,-0.76
15.978,-0.77
15.992,-0.77
16.006,-0.77
16.021,-0.77
16.035,-0.77
